2026-04-05T18:53:33.704029 | YFI Trade | Profit: $-0.02 | Total: $-0.02 | Trades: 1
2026-04-05T18:56:25.488890 | YFI Trade | Profit: $0.00 | Total: $0.00 | Trades: 1
2026-04-05T18:57:31.034240 | YFI Trade | Profit: $0.00 | Total: $0.00 | Trades: 2
2026-04-05T18:58:36.627824 | YFI Trade | Profit: $0.01 | Total: $0.01 | Trades: 3
2026-04-05T18:59:42.216332 | YFI Trade | Profit: $0.00 | Total: $0.01 | Trades: 4
2026-04-05T19:00:47.818944 | YFI Trade | Profit: $-0.01 | Total: $0.00 | Trades: 5
2026-04-05T19:01:53.415659 | YFI Trade | Profit: $-0.01 | Total: $-0.01 | Trades: 6
2026-04-05T19:02:58.973488 | YFI Trade | Profit: $0.00 | Total: $-0.01 | Trades: 7
2026-04-05T19:04:04.572383 | YFI Trade | Profit: $-0.02 | Total: $-0.04 | Trades: 8
2026-04-05T19:05:10.181533 | YFI Trade | Profit: $0.00 | Total: $-0.04 | Trades: 9
2026-04-05T19:06:15.732246 | YFI Trade | Profit: $-0.01 | Total: $-0.04 | Trades: 10
2026-04-05T19:07:21.351763 | YFI Trade | Profit: $0.00 | Total: $-0.04 | Trades: 11
2026-04-05T19:08:26.939895 | YFI Trade | Profit: $0.01 | Total: $-0.03 | Trades: 12
2026-04-05T19:11:43.708708 | YFI Trade | Profit: $-0.01 | Total: $-0.04 | Trades: 13
2026-04-05T19:12:49.274005 | YFI Trade | Profit: $0.01 | Total: $-0.03 | Trades: 14
2026-04-05T19:13:54.816109 | YFI Trade | Profit: $0.00 | Total: $-0.03 | Trades: 15
2026-04-05T19:15:00.431860 | YFI Trade | Profit: $0.00 | Total: $-0.03 | Trades: 16
2026-04-05T19:16:05.938079 | YFI Trade | Profit: $0.01 | Total: $-0.02 | Trades: 17
2026-04-05T19:17:11.457398 | YFI Trade | Profit: $-0.01 | Total: $-0.03 | Trades: 18
2026-04-05T19:18:17.038863 | YFI Trade | Profit: $0.05 | Total: $0.02 | Trades: 19
2026-04-05T19:19:22.679066 | YFI Trade | Profit: $-0.01 | Total: $0.01 | Trades: 20
2026-04-05T19:20:28.211957 | YFI Trade | Profit: $-0.01 | Total: $-0.01 | Trades: 21
2026-04-05T19:21:33.748574 | YFI Trade | Profit: $-0.04 | Total: $-0.04 | Trades: 22
2026-04-05T19:22:39.228205 | YFI Trade | Profit: $-0.01 | Total: $-0.05 | Trades: 23
2026-04-05T19:29:05.829397 | YFI Trade | Profit: $-0.01 | Total: $-0.01 | Trades: 1
2026-04-05T19:30:11.400811 | YFI Trade | Profit: $0.00 | Total: $-0.01 | Trades: 2
2026-04-05T19:31:16.902191 | YFI Trade | Profit: $0.00 | Total: $-0.01 | Trades: 3
2026-04-05T19:32:22.487422 | YFI Trade | Profit: $-0.02 | Total: $-0.04 | Trades: 4
2026-04-05T19:33:28.038948 | YFI Trade | Profit: $-0.02 | Total: $-0.06 | Trades: 5
2026-04-05T19:34:33.585918 | YFI Trade | Profit: $0.02 | Total: $-0.04 | Trades: 6
2026-04-05T19:35:39.234836 | YFI Trade | Profit: $-0.02 | Total: $-0.06 | Trades: 7
2026-04-05T19:36:44.906496 | YFI Trade | Profit: $0.00 | Total: $-0.06 | Trades: 8
2026-04-05T19:37:50.672537 | YFI Trade | Profit: $-0.04 | Total: $-0.09 | Trades: 9
2026-04-05T19:40:57.317363 | YFI Trade | Profit: $-0.02 | Total: $-0.12 | Trades: 10
